query,category,processed_query
Is it safe to cycle to work when air quality is classified as Very Unhealthy?,Outdoor Activities,safe cycle work air quality classify unhealthy
Can you tell me: What immediate steps should be taken when a hazardous air alert is issued?,Precautions,tell immediate step take hazardous air alert issue
"Could you explain if doctor, How does distance from a major arterial road affect particulate concentration gradients?",Pollution Exposure,could explain doctor distance major arterial road affect particulate concentration gradient
What are the six air quality categories defined by the EPA?,AQI Information,six air quality category define epa
Why are patients with neuromuscular diseases like ALS sensitive to smog?,Vulnerable Groups,patient neuromuscular disease like al sensitive smog
How can I ensure an airtight seal when wearing an N95 respirator?,Masks and Protection,ensure airtight seal wear n95 respirator
Is it safe to cycle to work when air quality is classified as Hazardous?,Outdoor Activities,safe cycle work air quality classify hazardous
Is it true that is it true that why is air pollution considered a major global health hazard?,Health Effects,true true air pollution consider major global health hazard
What does a yellow AQI alert mean?,AQI Information,yellow aqi alert mean
Can pollution cause an irritating dry cough that disturbs sleep?,Symptoms,pollution cause irritate dry cough disturb sleep
Can reusable silicone respirators offer better comfort in tropical smog?,Masks and Protection,reusable silicone respirator offer better comfort tropical smog
Can you tell me: Could you explain if can smog cause burning sensations throughout the upper respiratory tract?,Symptoms,tell could explain smog cause burn sensation throughout upper respiratory tract
Can fine particles cross the blood-brain barrier?,Health Effects,fine particle cross blood brain barrier
Can I do calisthenics in an open-air park when the AQI is 155?,Outdoor Activities,calisthenics open air park aqi 155
How does humidity affect particulate matter readings in AQI?,AQI Information,humidity affect particulate matter reading aqi
"Doctor, Do simple cloth face coverings provide any defense against air pollution?",Masks and Protection,doctor simple cloth face covering provide defense air pollution
What health risks confront outdoor gig delivery drivers working in hazardous AQI?,Pollution Exposure,health risk confront outdoor gig delivery driver work hazardous aqi
Can outdoor gardeners and landscapers work safely in Unhealthy air?,Outdoor Activities,outdoor gardener landscaper work safely unhealthy air
Do simple cloth face coverings provide any defense against air pollution?,Masks and Protection,simple cloth face covering provide defense air pollution
"Doctor, How does distance from a major arterial road affect particulate concentration gradients?",Pollution Exposure,doctor distance major arterial road affect particulate concentration gradient
Could you explain if can sports training masks filter particulate air pollution?,Masks and Protection,could explain sport train mask filter particulate air pollution
Quick question: Why are people with hypertension more vulnerable during pollution crises?,Vulnerable Groups,quick question people hypertension vulnerable pollution crisis
What are the multi-organ consequences of severe environmental smog?,Health Effects,multi organ consequence severe environmental smog
"Doctor, Why are patients with cystic fibrosis highly vulnerable to particulate matter?",Vulnerable Groups,doctor patient cystic fibrosis highly vulnerable particulate matter
Could you explain if are there special pediatric N95 masks designed for children's smaller faces?,Masks and Protection,could explain special pediatric n95 mask design child smaller face
Can you tell me: What precautions should be taken when cooking to avoid adding to indoor PM2.5?,Precautions,tell precaution take cook avoid add indoor pm25
"I want to know, Can diesel exhaust exposure cause airway remodeling and subepithelial fibrosis?",Respiratory Health,want know diesel exhaust exposure cause airway remodel subepithelial fibrosis
How can I protect my household from toxic outdoor smoke and smog?,Precautions,protect household toxic outdoor smoke smog
Can air pollution during pregnancy increase the risk of low birth weight?,Vulnerable Groups,air pollution pregnancy increase risk low birth weight
Should marathon organizers cancel races when AQI exceeds 150?,Outdoor Activities,marathon organizer cancel race aqi exceed 150
"I want to know, Is air pollution classified as a human carcinogen by the WHO?",Health Effects,want know air pollution classify human carcinogen
Why is AQI usually worse at night and during early morning inversion?,AQI Information,aqi usually worse night early morning inversion
What preventive habits should city dwellers adopt during winter smog season?,Precautions,preventive habit city dweller adopt winter smog season
What are the cumulative health risks of living within 500 meters of a major highway?,Pollution Exposure,cumulative health risk live within 500 meter major highway
Quick question: Does air pollution cause an increase in emergency room cardiac visits?,Health Effects,quick question air pollution cause increase emergency room cardiac visit
Quick question: Can air pollution cause behavioral issues or ADHD symptoms in children?,Vulnerable Groups,quick question air pollution cause behavioral issue adhd symptom child
What are the dangers of prolonged exposure to diesel particulate matter on transit workers?,Pollution Exposure,danger prolong exposure diesel particulate matter transit worker
Is it true that why do I get a pounding frontal headache after commuting in traffic?,Symptoms,true get pound frontal headache commute traffic
Can children play in the backyard playground when the AQI is 350?,Outdoor Activities,child play backyard playground aqi 350
Why does my nose run uncontrollably when particulate levels are high?,Symptoms,nose run uncontrollably particulate level high
Can I exercise outdoors in the evening if the AQI is 215?,Outdoor Activities,exercise outdoors even aqi 215
"Doctor, What does an AQI between 0 and 50 indicate for sensitive people?",AQI Information,doctor aqi 50 indicate sensitive people
Why do individuals with sickle cell anemia need protection from bad air?,Vulnerable Groups,individual sickle cell anemia need protection bad air
"Quick question: Doctor, Why do asthmatics need their rescue inhalers more frequently during smog?",Respiratory Health,quick question doctor asthmatic need rescue inhaler frequently smog
What does a red air quality alert signify?,AQI Information,red air quality alert signify
